pedid	animal_id	tag_id	id_herd	province	district	ward	wardno	birthdate	milkingdate	calvingyear	animalid_calvingyear	calvingdate	calvingmonth	dim	parity	age_y	age_m	milkam	milkpm	totalmilk	fat_p	prot_p	snf
455	2	2	423214501	Daki	Aski	Khara	14	21/03/2015	14/09/2022	2022	2_2022	14/09/2022	September	0	1	7	89	5.4	3.7	9.1	6.5	3.4	9.5
455	2	2	423214501	Daki	Aski	Khara	14	21/03/2015	15/10/2022	2022	2_2022	14/09/2022	September	31	1	7	90	5.4	3.7	9.1	5.4	3.7	10.2
455	2	2	423214501	Daki	Aski	Khara	14	21/03/2015	15/11/2022	2022	2_2022	14/09/2022	September	62	1	7	91	5.4	3.7	9.1	6.4	3.6	9.9
455	2	2	423214501	Daki	Aski	Khara	14	21/03/2015	15/12/2022	2022	2_2022	14/09/2022	September	92	1	7	92	5.4	3.7	9.1	5.9	3.2	9.8
455	2	2	423214501	Daki	Aski	Khara	14	21/03/2015	12/01/2023	2023	2_2023	12/01/2023	January	0	2	7	93	3	2	5	5.5	4.3	11.9
455	2	2	423214501	Daki	Aski	Khara	14	21/03/2015	12/01/2023	2023	2_2023	12/01/2023	January	0	2	7	93	3	2	5	5.5	4.3	11.9
455	2	2	423214501	Daki	Aski	Khara	14	21/03/2015	11/02/2023	2023	2_2023	12/01/2023	January	30	2	7	94	5.4	3.7	9.1	5.8	3.3	9.2
455	2	2	423214501	Daki	Aski	Khara	14	21/03/2015	11/02/2023	2023	2_2023	12/01/2023	January	30	2	7	94	5.4	3.7	9.1	5.8	3.3	9.2
455	2	2	423214501	Daki	Aski	Khara	14	21/03/2015	13/03/2023	2023	2_2023	12/01/2023	January	60	2	7	95	5.4	3.7	9.1	5.9	4	10.3
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	15/11/2022	2022	3_2022	15/11/2022	November	0	1	9	110	2.2	2.2	4.4	5.4	3.6	10.3
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	15/12/2022	2022	3_2022	15/11/2022	November	30	1	9	111	2.2	2.2	4.4	5.7	3.6	9.8
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	12/01/2023	2023	3_2023	12/01/2023	January	0	2	9	112	3	2	5	6.5	4.2	11.6
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	12/01/2023	2023	3_2023	12/01/2023	January	0	2	9	112	3	2	5	6.5	4.2	11.6
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	11/02/2023	2023	3_2023	12/01/2023	January	30	2	9	113	2.2	2.2	4.4	4.2	3.4	10.2
